video_id,title,upload_date,views,likes,duration,video_type,video_url
pzhusXi7zcQ,12th के बाद पता चला IIT क्या है 🤯 फिर crack कर दिखाया ✅🔥 #IITMotivation #MatrixJEE #Shorts,2025-12-12T03:30:43Z,5150,78,0:27,Short,https://www.youtube.com/watch?v=pzhusXi7zcQ
0kwcdgNAYbU,JEE Main 2026: Last 45 Days Strategy to Max Your Score ✔️🔥 | Matrix JEE Sikar,2025-12-11T13:30:01Z,3036,118,19:00,Video,https://www.youtube.com/watch?v=0kwcdgNAYbU
w0ICzIKkTaQ,Matrix Way to Success 🔥 | Rishabh Meel AIR 70 – JEE Advanced 2025 Sikar Topper #jeetopper #shorts,2025-09-29T13:30:55Z,5102,133,0:53,Short,https://www.youtube.com/watch?v=w0ICzIKkTaQ
PEF0249F8Jk,"Discipline Today, IIT Tomorrow | JEE Advanced 2025 Topper Bhawani #JEEMotivation #MatrixJEE",2025-09-28T13:30:22Z,2959,40,0:21,Short,https://www.youtube.com/watch?v=PEF0249F8Jk
NOTL5_4HQBM,Guidance Beyond Classrooms ✨| Faculties Just a Call Away 📞 | #JEEAdvanced2025 #MatrixSikar #Shorts,2025-09-26T13:30:33Z,3623,42,0:29,Short,https://www.youtube.com/watch?v=NOTL5_4HQBM
rXu_0eUp7vI,"✨Don’t Compare, Focus on you! | JEE Advanced 2025 Topper’s Tip  #matrixjee #jeeadvanced #shorts",2025-09-25T13:31:01Z,1893,43,0:58,Short,https://www.youtube.com/watch?v=rXu_0eUp7vI
fiaLOvU29IA,🎓 600+ IITians in 2025 → Journeys to IITs Begin at Matrix✨ #engineersday #iit #matrixsikar #jee2025,2025-09-15T00:30:37Z,2104,25,0:09,Short,https://www.youtube.com/watch?v=fiaLOvU29IA
3Pk9nnD_DBc,📖 श से शिक्षा → शिक्षा से सफलता→ सफलता का पर्याय – मैट्रिक्स | Hindi Diwas| JEE & NEET 2025 Results,2025-09-14T00:30:03Z,1659,17,0:30,Short,https://www.youtube.com/watch?v=3Pk9nnD_DBc
r7lJnCkG084,Topper Revealed Best JEE Coaching in Sikar | JEE Advanced 2025 AIR 610🔥 Success Story | Matrix JEE,2025-07-02T12:31:10Z,341,4,20:45,Video,https://www.youtube.com/watch?v=r7lJnCkG084
TaMHEQGYpBU,"How I Got AIR 474 in JEE Advanced 2025| Topper Interview, Study Plan & Strategy | Matrix JEE",2025-06-22T13:01:01Z,390,9,18:38,Video,https://www.youtube.com/watch?v=TaMHEQGYpBU
JHSbNJOKZg0,How AIR 405 Cracked JEE Advanced 2025 in First Attempt| JEE Topper Success Story| Matrix JEE,2025-06-12T06:25:32Z,386,6,14:38,Video,https://www.youtube.com/watch?v=JHSbNJOKZg0
5-4z3hH9l0w,JEE Advanced 2025 Result 🎉 | AIR 70 Sikar Topper | 670+ IIT Selections| Matrix Sikar's Celebration!,2025-06-05T16:16:34Z,9268,145,0:35,Short,https://www.youtube.com/watch?v=5-4z3hH9l0w
htP493RfbRo,"🎉 JEE Advanced 2025 Result Celebration | AIR 70, Sikar Topper🏆| 670+ IIT Selections| Matrix Sikar",2025-06-04T13:41:21Z,23916,315,0:37,Short,https://www.youtube.com/watch?v=htP493RfbRo
