video_id,title,upload_date,views,likes,duration,video_type,video_url
HV0NuiAFofU,Big Manners Begin with Small Words 💛 | MHS Junior School #MhsJuniorSchool #Shorts,2026-06-30T13:30:24Z,22,4,0:16,Short,https://www.youtube.com/watch?v=HV0NuiAFofU
3BM02avP1vQ,Learning Shapes Through Fun Activities | Best MHS Junior School #MhsJuniorSchool #Shorts,2026-06-29T13:30:38Z,45,8,0:28,Short,https://www.youtube.com/watch?v=3BM02avP1vQ
1Gxi6OO0o4w,The Real Magic Happens Inside the Classroom | Best Junior School #MHSJuniorSchool #Shorts,2026-06-27T05:30:20Z,71,1,0:11,Short,https://www.youtube.com/watch?v=1Gxi6OO0o4w
P1Hxgz5R9Z0,Back To School,2026-06-25T05:30:22Z,34836,95,0:13,Short,https://www.youtube.com/watch?v=P1Hxgz5R9Z0
Dy317INYUko,Juniors Balloon Activity,2026-06-24T05:30:06Z,69,5,0:35,Short,https://www.youtube.com/watch?v=Dy317INYUko
_bdcWwmT0EQ,New Beginnings,2026-06-22T14:05:21Z,149,8,0:19,Short,https://www.youtube.com/watch?v=_bdcWwmT0EQ
F3P14e5QbuQ,Priceless Moments,2026-06-21T05:30:06Z,103,7,0:26,Short,https://www.youtube.com/watch?v=F3P14e5QbuQ
e0fS77RLxXk,Teachers Missing Kids,2026-06-20T05:30:03Z,3383,40,0:22,Short,https://www.youtube.com/watch?v=e0fS77RLxXk
5bZl4P-IxZ0,Primary campus,2026-06-18T13:30:39Z,232,13,0:29,Short,https://www.youtube.com/watch?v=5bZl4P-IxZ0
dURSeUW0oys,Childhood Memories,2026-06-17T05:30:30Z,150,9,0:18,Short,https://www.youtube.com/watch?v=dURSeUW0oys
YhN3NiIZfXQ,MHS Junior School,2026-06-15T05:30:08Z,343,14,0:23,Short,https://www.youtube.com/watch?v=YhN3NiIZfXQ
j_ilNbqEDdE,Summer Ends,2026-06-14T10:30:22Z,130,9,0:28,Short,https://www.youtube.com/watch?v=j_ilNbqEDdE
xZn-5hSS00Y,Power Of Education,2026-06-12T05:30:09Z,175,7,0:35,Short,https://www.youtube.com/watch?v=xZn-5hSS00Y
CKtPg2D6Hu0,Every Shot Builds Confidence,2026-06-11T05:30:01Z,1380,15,0:21,Short,https://www.youtube.com/watch?v=CKtPg2D6Hu0
dvceXxViF8k,"Making Memories, Not Poses",2026-06-09T05:30:26Z,263,11,0:19,Short,https://www.youtube.com/watch?v=dvceXxViF8k
7h7dT1kH4yo,Skating Life,2026-06-08T05:30:05Z,1997,21,0:15,Short,https://www.youtube.com/watch?v=7h7dT1kH4yo
GokSB_vjRH8,Confidence Starts Here,2026-06-07T05:30:20Z,214,9,0:41,Short,https://www.youtube.com/watch?v=GokSB_vjRH8
