video_id,title,upload_date,views,likes,duration,video_type,video_url
bIZBwzCnW8E,"Hostel Evening at MHS — Music, Memories & Family | Bose Hostel",2026-06-30T13:52:08Z,709,32,0:33,Short,https://www.youtube.com/watch?v=bIZBwzCnW8E
QLV3hyvkzes,Where Dreams Meet Determination | Best School in Sikar #matrixhighschool #mhs #shorts,2026-06-29T13:30:31Z,1403,54,0:48,Short,https://www.youtube.com/watch?v=QLV3hyvkzes
9ghp_-NOrm0,"LIVE Launch: Matrix Olympiad 2026-27 🚀 | Win ₹91 Cr Scholarships, FREE Europe Tour & ₹51 Lakh Cash",2026-06-28T18:32:59Z,552,42,31:56,Video,https://www.youtube.com/watch?v=9ghp_-NOrm0
F2cN9pAJvxw,"Today's Moments, Tomorrow's Memories ❤️| Best School in Sikar #matrixhighschool #mhs #shorts",2026-06-28T05:30:05Z,2427,79,0:34,Short,https://www.youtube.com/watch?v=F2cN9pAJvxw
EVc-It5lQpw,Every Evening Feels Special at Matrix High School |  Best School in Sikar #matrixhighschool #shorts,2026-06-26T13:30:14Z,2896,93,0:11,Short,https://www.youtube.com/watch?v=EVc-It5lQpw
IBjQ4SVljXs,⚽ Where Future Football Champions Are Built |  Best School in Sikar #matrixhighschool #mhs #shorts,2026-06-25T13:30:34Z,2460,59,0:26,Short,https://www.youtube.com/watch?v=IBjQ4SVljXs
M6sfyeeBLwc,🏏 Future Cricket Champions in the Making | Matrix High School #matrixhighschool #mhs #shorts,2026-06-25T05:30:25Z,3649,81,0:09,Short,https://www.youtube.com/watch?v=M6sfyeeBLwc
gwqKRZqtblw,Lessons Beyond the Classroom | Best School in Sikar #matrixhighschool #mhs #shorts,2026-06-24T05:30:00Z,1760,68,0:44,Short,https://www.youtube.com/watch?v=gwqKRZqtblw
IAmpqOTyFrc,When School Feels Like Home | Matrix High School,2026-06-23T10:18:29Z,2050,101,2:19,Video,https://www.youtube.com/watch?v=IAmpqOTyFrc
07oCQwZEaBc,They Came Back Different | Summer Stories at Matrix High School,2026-06-23T06:34:49Z,2399,93,1:00,Short,https://www.youtube.com/watch?v=07oCQwZEaBc
qztKMbfchNc,New Term. Fresh Start. Endless Possibilities. | Best School in Sikar #matrixhighschool #mhs #shorts,2026-06-23T05:30:39Z,2874,113,0:40,Short,https://www.youtube.com/watch?v=qztKMbfchNc
QoB5QEkGxEw,Exploring Science Through Fun Experiments | Top School in Sikar #matrixhighschool #mhs #shorts,2026-06-22T13:30:04Z,2583,47,0:23,Short,https://www.youtube.com/watch?v=QoB5QEkGxEw
sLUQ6Zf9mQE,A Day in Matrix Hostel Life | From Morning to Night | Matrix Hostel Tour | Best School in Sikar,2026-06-22T05:30:11Z,1044,32,31:44,Video,https://www.youtube.com/watch?v=sLUQ6Zf9mQE
TDeT3jcJjgo,A Beautiful Tribute to Fathers | Father's Day Special 2026 | Best School in Sikar #matrixhighschool,2026-06-21T11:39:24Z,2836,132,0:40,Short,https://www.youtube.com/watch?v=TDeT3jcJjgo
pRQQh8LEieI,Inner Strength Creates Future Leaders | Top School in Sikar #matrixhighschool #mhs #shorts,2026-06-21T09:14:37Z,2479,77,0:18,Short,https://www.youtube.com/watch?v=pRQQh8LEieI
plR4tYM8Ues,"We Build Strong Minds, Not Just Toppers | Best School in Sikar #matrixhighschool #mhs #shorts",2026-06-21T06:30:33Z,2659,98,0:33,Short,https://www.youtube.com/watch?v=plR4tYM8Ues
LjWfA1RWtwo,Teaching Children the Power of Pause | Top School in Sikar #matrixhighschool #mhs #shorts,2026-06-21T02:30:15Z,3767,100,0:21,Short,https://www.youtube.com/watch?v=LjWfA1RWtwo
IHS6GZ5EFI4,Meet the Heroes Behind Matrix High School | Best  School in Sikar #matrixhighschool #mhs #shorts,2026-06-20T13:30:31Z,2936,115,0:59,Short,https://www.youtube.com/watch?v=IHS6GZ5EFI4
H82SZelP3V0,Parent Teacher Meeting | Best School in Sikar #matrixhighschool #matrixsikar #mhs #shorts,2026-06-20T05:30:09Z,3926,97,0:24,Short,https://www.youtube.com/watch?v=H82SZelP3V0
p9_KpC6Ge0U,"They Left as Students, They Returned with Stories #matrixhighschool #mhs #shorts",2026-06-19T13:08:17Z,2335,78,0:56,Short,https://www.youtube.com/watch?v=p9_KpC6Ge0U
ece6UL1gtI0,Build Focus & Confidence Every Day in Matrix High School #matrixhighschool #mhs #shorts,2026-06-19T05:30:30Z,2357,52,0:21,Short,https://www.youtube.com/watch?v=ece6UL1gtI0
RkTAIIv7vzg,Student Life Unfiltered in Matrix High School | Top School in Sikar #matrixhighschool #mhs #shorts,2026-06-18T13:08:33Z,3745,95,0:29,Short,https://www.youtube.com/watch?v=RkTAIIv7vzg
lFOAakESr50,"Hostel Nights, Lifelong Memories | Best School in Sikar #matrixhighschool #mhs #shorts",2026-06-17T13:30:05Z,1423,50,0:50,Short,https://www.youtube.com/watch?v=lFOAakESr50
VStIbOEY188,Strong Body. Strong Mind. Strong Future. 💪| Top School in Sikar #matrixhighschool #mhs #shorts,2026-06-16T13:30:35Z,2831,73,0:29,Short,https://www.youtube.com/watch?v=VStIbOEY188
4VfQWrQzGAE,New Class. New Goals. New Possibilities | Best School in Sikar #matrixhighschool #mhs #shorts,2026-06-16T05:30:34Z,3671,112,0:32,Short,https://www.youtube.com/watch?v=4VfQWrQzGAE
oxSLAD8zGkQ,Classrooms Ready. Are You? | Top School in Sikar #matrixhighschool #mhs #shorts,2026-06-15T05:30:37Z,3844,99,0:16,Short,https://www.youtube.com/watch?v=oxSLAD8zGkQ
9MZ1_u9xAGA,Every Great Story Starts Here | Batch 2026-27 | Best School in Sikar #matrixhighschool #mhs #shorts,2026-06-14T13:30:04Z,6097,95,0:12,Short,https://www.youtube.com/watch?v=9MZ1_u9xAGA
