video_id,title,upload_date,views,likes,duration,video_type,video_url
VYClBAxKxIE,NEET 2026 Re-Exam: Matrix Faculty Team का Last Message — 21 June से पहले ज़रूर देखें | Matrix NEET,2026-06-19T06:47:34Z,5248,306,6:00,Video,https://www.youtube.com/watch?v=VYClBAxKxIE
HEdE4dSo9W4,Sikar's First CBT Mock Tests for NEET 2027 — Only at Matrix Sikar,2026-06-15T10:30:37Z,6720,66,2:54,Video,https://www.youtube.com/watch?v=HEdE4dSo9W4
HKSaZK3GVf0,Re-NEET Preparation Strategy 2026 | LAST Days Strategy for RE-NEET | Best NEET Coaching in Sikar,2026-05-27T11:28:59Z,4164,185,5:44,Video,https://www.youtube.com/watch?v=HKSaZK3GVf0
ZSwacs-4fCc,"ESIC Quota NEET 2026 | Ward of IP Certificate Apply Now | Dates, Eligibility & Full Process",2026-05-06T05:52:49Z,10960,169,8:46,Video,https://www.youtube.com/watch?v=ZSwacs-4fCc
gDe6WzVsjso,NEET UG 2026 Biometric Update | NEET 2026 Biometric Issue? | Fingerprint Issue | NTA Official Notice,2026-05-01T05:39:43Z,457,15,1:27,Video,https://www.youtube.com/watch?v=gDe6WzVsjso
dsMC1ryDreE,NEET 2026 | Best of Luck Future Doctor's | All The Best for NEET 2026 | Last Message Before Exam,2026-04-30T13:22:55Z,3803,211,4:21,Video,https://www.youtube.com/watch?v=dsMC1ryDreE
YE1m2DYtenY,"NEET 2026 Exam Day – Admit Card Rules, Travel Tips & Documents Checklist | Matrix NEET Sikar",2026-04-29T13:48:47Z,581,28,2:25,Video,https://www.youtube.com/watch?v=YE1m2DYtenY
vk2lk5kAQRo,NEET Last 7 Days Plan 🔥 Complete Guide for Students & Parents,2026-04-25T07:48:46Z,2645,120,2:45,Video,https://www.youtube.com/watch?v=vk2lk5kAQRo
Gp9kIMhAVuk,Last 10 Days Before NEET 2026: The Only Strategy That Actually Works Under Pressure | Matrix NEET,2026-04-23T13:26:21Z,3699,228,7:20,Video,https://www.youtube.com/watch?v=Gp9kIMhAVuk
9Ii3G1keTOw,Top NEET Coaching in Sikar | NEET 2026: Last 45 Days में क्या करें? — पूरा Roadmap | Matrix NEET,2026-03-19T13:23:22Z,8479,375,11:57,Video,https://www.youtube.com/watch?v=9Ii3G1keTOw
Ir9PJz_O-7Q,"AIIMS Jammu MBBS — Cutoff, Fees, Hostel & Campus Life Explained | NEET 2026",2026-03-09T13:30:14Z,1129,20,7:11,Video,https://www.youtube.com/watch?v=Ir9PJz_O-7Q
