video_id,title,upload_date,views,likes,duration,video_type,video_url
g76MCjLTDIg,Self Driving Car! 🚨 😨,2026-06-25T06:30:04Z,104110,4996,0:38,Short,https://www.youtube.com/watch?v=g76MCjLTDIg
UkWEccH7S34,What’s always in my travel bag? ft ConfirmTkt 🚆,2026-06-22T09:25:49Z,195775,9581,1:32,Video,https://www.youtube.com/watch?v=UkWEccH7S34
S6rdTkGEEwA,Secret Island of Japan 🇯🇵 🌋,2026-06-21T14:30:04Z,1480430,33453,0:24,Short,https://www.youtube.com/watch?v=S6rdTkGEEwA
ClY_Md0lPb0,Kolkata’s Hidden Art Secret 🤫,2026-06-18T03:27:06Z,1373205,37212,0:37,Short,https://www.youtube.com/watch?v=ClY_Md0lPb0
BA--6JUt7os,Pen Hospital 🤯,2026-06-16T12:33:02Z,1214904,53680,1:00,Short,https://www.youtube.com/watch?v=BA--6JUt7os
JtHtOWG44pY,The Clock has seen it all 👀,2026-06-10T04:43:03Z,1404712,43018,0:38,Short,https://www.youtube.com/watch?v=JtHtOWG44pY
5jBh9d42CuI,How I take care of my Plants ft Google Gemini 🌱,2026-06-09T12:51:59Z,112186,4521,1:06,Video,https://www.youtube.com/watch?v=5jBh9d42CuI
zqKNSwrZCuU,Bolo zubaan kesari ✌️,2026-06-08T13:32:59Z,5730725,189930,1:17,Video,https://www.youtube.com/watch?v=zqKNSwrZCuU
HyQqOyhdt8o,I lived inside a Railway Station for 14 Days ~ EP 14,2026-06-07T02:30:18Z,467600,28884,21:15,Video,https://www.youtube.com/watch?v=HyQqOyhdt8o
twaqaUCcAf0,Books Restock ho gayi oyeee 🥳😄,2026-06-04T06:34:39Z,522133,12912,0:32,Short,https://www.youtube.com/watch?v=twaqaUCcAf0
zqeazIq5nrw,I was not Ready for this ☠️,2026-06-02T15:11:04Z,1752692,36788,0:29,Short,https://www.youtube.com/watch?v=zqeazIq5nrw
8RCs6bMHjBA,They warned me😰,2026-05-29T15:04:24Z,2484151,59587,0:57,Short,https://www.youtube.com/watch?v=8RCs6bMHjBA
c2lbW5GYSVI,Living Inside a Railway Station for 14  Days - Day 13 🚂,2026-05-29T02:30:05Z,690299,27608,21:21,Video,https://www.youtube.com/watch?v=c2lbW5GYSVI
OkZpWip4R5I,Mumbai Local ♥️🚂✨,2026-05-28T14:04:13Z,282191,9990,0:48,Short,https://www.youtube.com/watch?v=OkZpWip4R5I
eEOkO9ihEeQ,Living Inside a Railway Station For 14 Days ~ Day 12 🚂,2026-05-28T02:30:04Z,763766,30269,23:27,Video,https://www.youtube.com/watch?v=eEOkO9ihEeQ
eaxSogLC4Wk,Bhai ye me kaha aa gaya??,2026-05-27T13:09:07Z,328171,7825,0:27,Short,https://www.youtube.com/watch?v=eaxSogLC4Wk
pQY9CkBU5E0,Living Inside a Railway Station For 14 Days ~ Day 11 🚂,2026-05-27T02:30:03Z,715075,32618,32:34,Video,https://www.youtube.com/watch?v=pQY9CkBU5E0
asVYxblG9XA,Living Inside a Railway Station For 14 Days - Day 10 🚂,2026-05-26T02:29:43Z,1136125,38728,17:21,Video,https://www.youtube.com/watch?v=asVYxblG9XA
6Gr-x9a8Du0,Train Ride to Mizoram ♥️,2026-05-25T13:41:07Z,214272,9484,0:15,Short,https://www.youtube.com/watch?v=6Gr-x9a8Du0
BfiMMR59QOU,Living Inside a Railway Station for 14 Days - Day 09 🚂,2026-05-25T02:30:04Z,797279,35199,25:31,Video,https://www.youtube.com/watch?v=BfiMMR59QOU
S7jS4uBc2HQ,Not Expected 😩,2026-05-24T08:42:55Z,216542,6382,0:54,Short,https://www.youtube.com/watch?v=S7jS4uBc2HQ
HjVvKQo6pIs,Living Inside a Railway station for 14 Days - Day 08 🚂,2026-05-24T02:31:17Z,778222,32712,19:24,Video,https://www.youtube.com/watch?v=HjVvKQo6pIs
PiT5zEauzQE,AC vs General 🚂,2026-05-23T12:31:24Z,2717393,90309,0:37,Short,https://www.youtube.com/watch?v=PiT5zEauzQE
W3ObwQm-ngA,Living Inside a Railway station For 14 Days - Day 07 🚂,2026-05-23T02:30:05Z,3319715,73676,25:34,Video,https://www.youtube.com/watch?v=W3ObwQm-ngA
wTgrZO4jlXQ,I made a friend at Mizoram Station ✨,2026-05-22T12:47:06Z,489520,23092,1:04,Video,https://www.youtube.com/watch?v=wTgrZO4jlXQ
TNqV4HfKTIQ,Living Inside a Railway Station For 14 Days - Day 06 🚂,2026-05-22T02:30:02Z,846337,45365,25:27,Video,https://www.youtube.com/watch?v=TNqV4HfKTIQ
WEpRc6BDHzc,It Broke my Heart 💔,2026-05-21T15:54:05Z,344962,13756,0:56,Short,https://www.youtube.com/watch?v=WEpRc6BDHzc
7tfYqOynj4k,Living Inside a Railway Station For 14 Days - Day 05,2026-05-21T02:30:03Z,831842,37953,29:35,Video,https://www.youtube.com/watch?v=7tfYqOynj4k
P1wDkxYr7EQ,General Compartment Travel Hack 😂,2026-05-20T18:16:43Z,9238725,215093,1:04,Video,https://www.youtube.com/watch?v=P1wDkxYr7EQ
_rR-wYPutS8,Darjeeling Toy train Ride 🚂,2026-05-20T13:37:35Z,812194,24782,0:34,Short,https://www.youtube.com/watch?v=_rR-wYPutS8
qcVvhUqyvhc,Living Inside a Railway Station For 14 Days - Day 04,2026-05-20T02:30:07Z,832953,41697,22:05,Video,https://www.youtube.com/watch?v=qcVvhUqyvhc
