video_id,title,upload_date,views,likes,duration,video_type,video_url
CvuNdXB_UQg,Are you really ready for DSA,2026-06-29T05:50:15Z,10180,1129,6:42,Video,https://www.youtube.com/watch?v=CvuNdXB_UQg
16X0rONMaWQ,Foundation of Spring Boot | Chai aur Springboot,2026-06-28T10:39:00Z,11612,841,1:56:48,Video,https://www.youtube.com/watch?v=16X0rONMaWQ
FZjJVuHWOIw,"Springboot in Production with Redis, Microservices and Kafka | Chai aur Springboot",2026-06-28T09:23:26Z,0,9,,Video,https://www.youtube.com/watch?v=FZjJVuHWOIw
oXVNXFQDDIM,Security in Springboot | Chai aur Springboot,2026-06-28T09:10:29Z,0,8,,Video,https://www.youtube.com/watch?v=oXVNXFQDDIM
yDF3ZOp0uzQ,Building RESTAPI and Database details in springboot | Chai aur Springboot,2026-06-28T08:52:32Z,0,18,,Video,https://www.youtube.com/watch?v=yDF3ZOp0uzQ
VCqiwPs8ISE,Chai aur Books pe Live stream Announcement,2026-06-24T17:25:25Z,83396,1842,10:42,Video,https://www.youtube.com/watch?v=VCqiwPs8ISE
8EXIwlEVtJM,Just chill live stream,2026-06-22T17:32:17Z,9102,516,57:57,Video,https://www.youtube.com/watch?v=8EXIwlEVtJM
PoPJNeOKrEk,AI revolution is here,2026-06-22T14:08:29Z,47253,2805,1:56,Video,https://www.youtube.com/watch?v=PoPJNeOKrEk
hYIb2xs0vvk,Agent first testing for production applicaiton,2026-06-20T11:30:09Z,49367,461,33:53,Video,https://www.youtube.com/watch?v=hYIb2xs0vvk
VmzMABFsiUM,Chaicode is live,2026-06-13T14:34:45Z,8155,388,46:00,Video,https://www.youtube.com/watch?v=VmzMABFsiUM
